キャリア,地域,都道府県,店名,住所,URL
au,北陸・甲信越,新潟県,ａｕショップ イオン新潟東,950-0872 新潟県新潟市東区大形本町３－１－２　イオン新潟東2F　207区画,https://www.au.com/storelocator/detail/?shopId=T-00026
au,北陸・甲信越,新潟県,ａｕショップ リバーサイド千秋アピタ長岡店,940-2108 新潟県長岡市千秋２丁目２７８　リバーサイド千秋店 1F,https://www.au.com/storelocator/detail/?shopId=E-01351
au,北陸・甲信越,新潟県,ａｕショップ 燕吉田,959-0242 新潟県燕市吉田大保町２１－３１,https://www.au.com/storelocator/detail/?shopId=E-01112
au,北陸・甲信越,新潟県,ａｕショップ 燕三条,959-1232 新潟県燕市井土巻３－９３,https://www.au.com/storelocator/detail/?shopId=T-00009
au,北陸・甲信越,新潟県,ａｕショップ 亀田,950-0157 新潟県新潟市江南区鵜ノ子１－１－１,https://www.au.com/storelocator/detail/?shopId=T-00122
au,北陸・甲信越,新潟県,ａｕショップ 県庁前(新潟県),950-0962 新潟県新潟市中央区出来島１－２－２,https://www.au.com/storelocator/detail/?shopId=T-00029
au,北陸・甲信越,新潟県,ａｕショップ 見附,954-0112 新潟県見附市上新田町１３０,https://www.au.com/storelocator/detail/?shopId=E-01001
au,北陸・甲信越,新潟県,ａｕショップ 五泉,959-1811 新潟県五泉市三本木３０４９－３,https://www.au.com/storelocator/detail/?shopId=T-00036
au,北陸・甲信越,新潟県,ａｕショップ 佐渡,952-1307 新潟県佐渡市東大通２２４２－２,https://www.au.com/storelocator/detail/?shopId=E-00879
au,北陸・甲信越,新潟県,ａｕショップ 三条中央,955-0081 新潟県三条市東裏館３－１－１０,https://www.au.com/storelocator/detail/?shopId=E-00743
au,北陸・甲信越,新潟県,ａｕショップ 糸魚川,941-0057 新潟県糸魚川市南寺町１－１０－３,https://www.au.com/storelocator/detail/?shopId=T-00132
au,北陸・甲信越,新潟県,ａｕショップ 十日町,948-0077 新潟県十日町市下島丑６３４－１,https://www.au.com/storelocator/detail/?shopId=E-00742
au,北陸・甲信越,新潟県,ａｕショップ 小千谷,947-0042 新潟県小千谷市平沢１－９－２０,https://www.au.com/storelocator/detail/?shopId=E-00970
au,北陸・甲信越,新潟県,ａｕショップ 上越,942-0063 新潟県上越市下門前１８７９番地,https://www.au.com/storelocator/detail/?shopId=T-00258
au,北陸・甲信越,新潟県,ａｕショップ 上越高田,943-0827 新潟県上越市栄町５番７号,https://www.au.com/storelocator/detail/?shopId=T-00066
au,北陸・甲信越,新潟県,ａｕショップ 新潟とやの,950-0982 新潟県新潟市中央区堀之内南３－１－１０,https://www.au.com/storelocator/detail/?shopId=E-00684
au,北陸・甲信越,新潟県,ａｕショップ 新潟河渡,950-0016 新潟県新潟市東区河渡本町２２－６０,https://www.au.com/storelocator/detail/?shopId=T-00007
au,北陸・甲信越,新潟県,ａｕショップ 新潟亀貝,950-2033 新潟県新潟市西区亀貝　字前田１２３５－１,https://www.au.com/storelocator/detail/?shopId=E-00691
au,北陸・甲信越,新潟県,ａｕショップ 新潟坂井,950-2042 新潟県新潟市西区坂井７０４,https://www.au.com/storelocator/detail/?shopId=T-00232
au,北陸・甲信越,新潟県,ａｕショップ 新津,956-0035 新潟県新潟市秋葉区程島１９２９－１　マックスタウン４０３内,https://www.au.com/storelocator/detail/?shopId=E-00729
au,北陸・甲信越,新潟県,ａｕショップ 新発田,957-0062 新潟県新発田市富塚町３－２８８－６,https://www.au.com/storelocator/detail/?shopId=T-00062
au,北陸・甲信越,新潟県,ａｕショップ 村上,958-0824 新潟県村上市本町９８９－２,https://www.au.com/storelocator/detail/?shopId=T-00065
au,北陸・甲信越,新潟県,ａｕショップ 長岡東,940-0037 新潟県長岡市東栄１－１－１６,https://www.au.com/storelocator/detail/?shopId=E-00698
au,北陸・甲信越,新潟県,ａｕショップ 長岡柏町,940-0088 新潟県長岡市柏町２－２－３２,https://www.au.com/storelocator/detail/?shopId=T-00044
au,北陸・甲信越,新潟県,ａｕショップ 柏崎,945-0821 新潟県柏崎市幸町４－３９,https://www.au.com/storelocator/detail/?shopId=T-00064
au,北陸・甲信越,新潟県,ａｕショップ 豊栄,950-3317 新潟県新潟市北区かぶとやま１－５－３,https://www.au.com/storelocator/detail/?shopId=E-00929
au,北陸・甲信越,新潟県,ａｕショップ 六日町,949-6680 新潟県南魚沼市六日町７６－１９,https://www.au.com/storelocator/detail/?shopId=T-00082
docomo,関東,新潟県,ドコモショップアピタ新潟西店,950-2023 新潟県新潟市西区小新7-21 アピタ新潟西店,https://shop.smt.docomo.ne.jp/shop_detail/0361141982000/index.html
docomo,関東,新潟県,ドコモショップサテライトラブラ万代店,950-0088 新潟県新潟市中央区万代5-1 ラブラ万代,https://shop.smt.docomo.ne.jp/shop_detail/0300307459100/index.html
docomo,関東,新潟県,ドコモショップリバーサイド千秋店,940-2108 新潟県長岡市千秋2-278,https://shop.smt.docomo.ne.jp/shop_detail/0300306763500/index.html
docomo,関東,新潟県,ドコモショップ阿賀野店,959-2062 新潟県阿賀野市市野山231-1,https://shop.smt.docomo.ne.jp/shop_detail/0300306820600/index.html
docomo,関東,新潟県,ドコモショップ燕吉田店,959-0242 新潟県燕市吉田大保町21-37,https://shop.smt.docomo.ne.jp/shop_detail/0300306812900/index.html
docomo,関東,新潟県,ドコモショップ燕三条店,959-1232 新潟県燕市井土巻3-127,https://shop.smt.docomo.ne.jp/shop_detail/0361164005500/index.html
docomo,関東,新潟県,ドコモショップ加茂店,959-1383 新潟県加茂市旭町10-10,https://shop.smt.docomo.ne.jp/shop_detail/0300306908300/index.html
docomo,関東,新潟県,ドコモショップ柿崎店,949-3214 新潟県上越市柿崎区大字馬正面1250-13,https://shop.smt.docomo.ne.jp/shop_detail/0300306910400/index.html
docomo,関東,新潟県,ドコモショップ巻店,953-0042 新潟県新潟市西蒲区赤鏥字大道上907-1,https://shop.smt.docomo.ne.jp/shop_detail/0300306171400/index.html
docomo,関東,新潟県,ドコモショップ亀貝インター店,950-2033 新潟県新潟市西区亀貝3210,https://shop.smt.docomo.ne.jp/shop_detail/0300307199500/index.html
